Resource;Method;URI;Description
Assignments;GET;/api/v2/assignments/{id};Show assignment
Assignments;GET;/api/v2/background_jobs;List background jobs
Assignments;GET;/api/v2/background_jobs/{id};Show background job
Blueprints;GET;/api/v2/blueprints/{id};Show blueprint
Classes;GET;/api/v2/classes/{id};Show class
Comments;GET;/api/v2/comments;List comments
Comments;GET;/api/v2/comments/{id};Show comment
Courses;GET;/api/v2/courses/{id};Show course
Courses users;GET;/api/v2/courses_users/{id};Show courses user
Departments;GET;/api/v2/departments/{id};Show department
Domains;GET;/api/v2/domains/{id};Show domain
Exercises;GET;/api/v2/exercises/{id};Show exercise
Groups;GET;/api/v2/groups/{id};Show group
Assignment labels;GET;/api/v2/labels/{id};Show assignment label
Locations;GET;/api/v2/locations/{id};Show Location
Notifications;GET;/api/v2/notifications;List notifications
Notifications;GET;/api/v2/notifications/{id};Show notification
Objectives;GET;/api/v2/objectives/{id};Show objective
Periods;GET;/api/v2/periods/{id};Show period
Plans;GET;/api/v2/plans/{id};Show plan
Publication timeslots;GET;/api/v2/publication_timeslots/{id};Show publication timeslot
Qti;GET;/api/v2/qti/results/{id};QTI export
Question bank assignments;GET;/api/v2/question_bank_assignments/{id};Show question bank assignment
Question bank exercises;GET;/api/v2/question_bank_exercises/{id};Show question bank exercise
Question bank labels;GET;/api/v2/question_bank_labels/{id};Show question bank label
Question banks;GET;/api/v2/question_banks;List question banks
Question banks;GET;/api/v2/question_banks/{id};Show question bank
Questions;GET;/api/v2/questions/{id};Show question
Requirements;GET;/api/v2/requirements/{id}/;Show requirement
Results;GET;/api/v2/results/{id};Show result
Schools;GET;/api/v2/schools/{id};Show school
Score marks;GET;/api/v2/score_marks/{id};Show score mark
Search;GET;/api/v2/search/assignments;Search assignments
Search;GET;/api/v2/search/courses;Search courses
Search;GET;/api/v2/search/groups;Search groups
Search;GET;/api/v2/search/question_bank_assignments;Search question bank assignments
Search;GET;/api/v2/search/question_banks;Search question banks
Search;GET;/api/v2/search/results;Search results
Search;GET;/api/v2/search/timeslots;Search timeslots
Search;GET;/api/v2/search/users;Search users
Studies;GET;/api/v2/studies/{id};Show study
Submissions;GET;/api/v2/submissions/{id};Show submission
Subscriptions;GET;/api/v2/subscriptions/{id};Show subscription
Tasks;GET;/api/v2/tasks/{id};Show task
Timeslots;GET;/api/v2/timeslots/{id};Show timeslot
Users;GET;/api/v2/users/{id};Show user
Webhooks;GET;/api/v2/webhooks/;List webhooks
Webhooks;GET;/api/v2/webhooks/{id};Show webhook
Assignments;PATCH;/api/v2/assignments/{id};Update assignment
Assignments;PATCH;/api/v2/background_jobs/{id};Update background job
Classes;PATCH;/api/v2/classes/{id};Update class
Comments;PATCH;/api/v2/comments/{id};Update comment
Courses;PATCH;/api/v2/courses/{id};Update course
Courses users;PATCH;/api/v2/courses_users/{id};Update courses user
Departments;PATCH;/api/v2/departments/{id};Update department
Domains;PATCH;/api/v2/domains/{id};Update domain
Exercises;PATCH;/api/v2/exercises/{id};Update exercise
Groups;PATCH;/api/v2/groups/{id};Update group
Assignment labels;PATCH;/api/v2/labels/{id};Update assignment label
Locations;PATCH;/api/v2/locations/{id};Update location
Objectives;PATCH;/api/v2/objectives/{id};Update objective
Periods;PATCH;/api/v2/periods/{id};Update period
Plans;PATCH;/api/v2/plans/{id};Update plan
Publication timeslots;PATCH;/api/v2/publication_timeslots/{id};Update publication timeslot
Question bank assignments;PATCH;/api/v2/question_bank_assignments/{id};Update question bank assignment
Question bank exercises;PATCH;/api/v2/question_bank_exercises/{id};Update question bank exercise
Question bank labels;PATCH;/api/v2/question_bank_labels/{id};Update question bank label
Question banks;PATCH;/api/v2/question_banks/{id};Update question bank
Questions;PATCH;/api/v2/questions/{id};Update question
Requirements;PATCH;/api/v2/requirements/{id}/;Update requirement
Results;PATCH;/api/v2/results/{id};Update result
Schools;PATCH;/api/v2/schools/{id};Update school
Score marks;PATCH;/api/v2/score_marks/{id};Update score mark
Studies;PATCH;/api/v2/studies/{id};Update study
Submissions;PATCH;/api/v2/submissions/{id};Update submission
Subscriptions;PATCH;/api/v2/subscriptions/{id};Update subscription
